OBV3DaySlope,OBV4DaySlope,OBV10DaySlope,AD3DaySlope,AD4DaySlope,SlowStochastic,SlowSto1DaySlope,SlowSto5DaySlope,14DayRSI,14DayRSI1DaySlope,VIXClose,VIX1DaySlope,VIX10DaySlope,VIXSlowStochastic,BuySell
-7030000,1799294000,425858733.3,1272131600,2048610026,80.64229304,-7.712593616,4.12358378,57.04203899,-3.351104969,19.35,1.83,-0.246484933,44.386149,-1
-3771970000,-1560022000,319799381.8,-1021364469,179857092.1,75.06347879,-5.57881425,0.592414692,54.67860251,-2.363436485,20.23,0.88,-0.167333352,53.6201469,-1
-3743045000,-3707599000,48071151.52,-2516008360,-1743274723,47.57651948,-27.48695931,-9.236877918,44.82418836,-9.854414145,22.98,2.75,0.060121206,82.47639035,-1
-4215420000,-4079271000,-274078145.5,-3608295489,-3047327940,43.28836834,-4.288151145,-12.31988102,43.50684478,-1.317343585,23.74,0.76,0.351151455,90.45120672,-1
-5006495000,-4542789000,-483368297,-2332420161,-2748365564,34.7627997,-8.525568643,-12.35340971,40.93123855,-2.575606229,25.25,1.51,0.60424243,93.62291186,-1
-5014290000,-5000233000,-657492018.2,-918326446.1,-1833543726,29.33643433,-5.426365364,-10.42678087,39.33509325,-1.596145296,23.66,-1.59,0.795939479,78.92790398,-1
-5086840000,-5067200000,-789355363.6,-3226006736,-2236173569,0.019541249,-29.31689308,-10.90658905,31.25175631,-8.083336945,24.790001,1.130001,0.900424339,89.37153518,-1
620325000,-1638651000,-727950515.2,415409963.4,-646381709.4,21.14495055,21.1254093,-7.903009403,34.04325152,2.791495207,23.379999,-1.410002,0.852363679,76.34009461,-1
1090205000,-263070000,-549883357.6,919338548.5,-405291232.6,0.337649547,-20.807301,-7.704178408,23.99097737,-10.05227415,31.66,8.280001,1.101939382,97.58112094,-1
-4860560000,-1408907000,-245002206.1,-1411186769,543295988,16.60918131,16.27153177,-2.513639774,23.9039615,-0.087015871,32,0.34,1.196484836,69.95441359,-1
-399375000,1879774000,586920800,2218848871,1558878155,35.78096498,-4.601075828,6.897702036,41.73841917,-1.57782287,32.849998,0.979997,0.542000024,53.92335158,-1
243715000,2044784000,500968097,-2564221738,-1032627052,41.91315137,-4.867788329,2.89911771,49.6161878,-2.759277888,31.82,0.199999,-1.265090842,47.56967117,-1
497350000,2167218000,947067163.6,1647541528,2584792812,43.2754946,-3.874194358,4.008055124,51.77635831,-2.604298059,32.73,1.75,-0.487394048,46.30801877,-1
-4284900000,-1421692000,715536369.7,-1591265683,-120553312.9,43.64714554,0.371650942,1.558327165,51.33216436,-0.44419395,32.860001,0.130001,-0.458666697,44.19462013,-1
-4522080000,-4421066000,281193121.2,-4276460495,-2729810613,30.36595551,-13.28119003,-3.074084315,44.12985998,-7.202304382,37.32,4.459999,-0.377818133,60.14925224,-1
75250000,1582996000,172383351.5,638861927,997108407.1,81.23823839,-5.539467724,-0.620956865,53.57720145,-2.461806949,31.129999,1.089998,-0.148363703,29.81282531,-1
